DATE,BALL ONE,BALL TWO,BALL THREE,BALL FOUR,BALL FIVE,BONUS
2020-09-25,2,17,18,27,37,4
2020-09-22,3,10,28,31,41,7
2020-09-18,8,19,24,29,44,8
2020-09-15,3,18,32,40,46,7
2020-09-11,1,4,10,12,49,18
2020-09-08,12,13,14,36,50,6
2020-09-04,2,3,11,12,43,13
2020-09-01,16,21,22,36,39,5
2020-08-28,8,10,17,44,45,12
2020-08-25,7,20,32,34,48,1
2020-08-21,13,32,33,40,41,1
2020-08-18,6,22,30,39,49,2
2020-08-14,10,11,16,25,30,1
2020-08-11,27,29,39,40,42,6
2020-08-07,11,30,42,45,48,12
2020-08-04,4,28,34,38,47,16
2020-07-31,6,18,30,46,48,11
2020-07-28,3,28,30,38,40,8
2020-07-24,4,6,11,27,34,10
2020-07-21,17,20,22,32,41,3
2020-07-17,12,15,24,30,38,6
2020-07-14,20,21,28,48,49,3
2020-07-10,11,16,44,46,50,1
2020-07-07,2,7,13,20,45,18
2020-07-03,2,7,15,25,41,1
2020-06-30,2,11,27,36,39,3
2020-06-26,11,20,21,34,50,7
2020-06-23,2,7,16,36,47,18
2020-06-19,21,28,29,33,48,7
2020-06-16,4,26,27,29,41,15
2020-06-12,9,27,38,43,48,15
2020-06-09,5,37,43,49,50,3
2020-06-05,14,23,28,40,48,3
2020-06-02,5,15,29,41,46,14
2020-05-29,4,27,30,34,45,20
2020-05-26,15,25,34,39,42,4
2020-05-22,9,10,24,41,45,15
2020-05-19,9,15,19,36,44,10
2020-05-15,5,7,13,19,47,4
2020-05-12,6,22,34,44,45,11
2020-05-08,12,21,30,35,45,18
2020-05-05,6,22,41,46,49,3
2020-05-01,12,20,43,48,49,6
2020-04-28,6,12,32,36,45,4
2020-04-24,10,12,22,42,50,18
2020-04-21,8,13,21,46,50,13
2020-04-17,16,19,20,23,25,10
2020-04-14,6,11,25,31,46,9
2020-04-10,7,14,22,24,41,16
2020-04-07,4,13,32,34,42,9
2020-09-25,2,17,18,27,37,4
2020-09-22,3,10,28,31,41,7
2020-09-18,8,19,24,29,44,8
